district_code,state_name,district_name,population,male,female,literate,workers,households,households_with_internet,households_with_electric_lighting,urban_households,rural_households,households_with_computer,lpg_or_png_households
1,JAMMU AND KASHMIR,Kupwara,870354,474190,396164,439654,229064,181664,762,83071,23226,158438,5256,15828
2,JAMMU AND KASHMIR,Badgam,753745,398041,355704,335649,214866,187839,1999,90190,27190,160649,5892,15118
3,JAMMU AND KASHMIR,Leh(Ladakh),133487,78971,54516,93770,75079,54394,574,17250,17474,36920,2150,13645
4,JAMMU AND KASHMIR,Kargil,140802,77785,63017,86236,51873,48144,235,15824,7774,40370,1005,3285
5,JAMMU AND KASHMIR,Punch,476835,251899,224936,261724,161393,147408,346,62900,15269,132139,3342,13160
6,JAMMU AND KASHMIR,Rajouri,642415,345351,297064,364109,290912,213578,673,96012,17508,196070,6219,23946
7,JAMMU AND KASHMIR,Kathua,616435,326109,290326,389204,200431,214847,1443,109422,33473,181374,6112,32772
8,JAMMU AND KASHMIR,Baramula,1008039,534733,473306,545149,304200,259475,3698,138180,48932,210543,10645,33022
9,JAMMU AND KASHMIR,Bandipore,392232,207680,184552,185979,149317,98076,985,45469,17555,80521,3155,8868
10,JAMMU AND KASHMIR,Srinagar,1236829,651124,585705,748584,407188,262239,16413,165403,257721,4518,33831,138119
11,JAMMU AND KASHMIR,Ganderbal,297446,158720,138726,143276,100890,77346,878,38487,13558,63788,2779,10410
12,JAMMU AND KASHMIR,Pulwama,560440,293064,267376,293958,188420,169223,1537,73629,21703,147520,5293,16828
13,JAMMU AND KASHMIR,Shupiyan,266215,136480,129735,136500,87721,80888,884,35282,5272,75616,3440,3727
14,JAMMU AND KASHMIR,Anantnag,1078692,559767,518925,545532,389684,277733,2712,114899,70666,207067,8612,28984
15,JAMMU AND KASHMIR,Kulgam,424483,217620,206863,209085,159990,121130,838,47913,25178,95952,3542,4301
16,JAMMU AND KASHMIR,Doda,409936,213641,196295,219083,151912,133617,596,61831,11350,122267,3077,7963
17,JAMMU AND KASHMIR,Ramban,283713,149132,134581,124065,87212,89622,417,34243,5341,84281,2644,3982
18,JAMMU AND KASHMIR,Kishtwar,230696,120165,110531,107506,82974,78371,274,24067,5993,72378,1651,4118
19,JAMMU AND KASHMIR,Udhampur,554985,296784,258201,322354,243672,183360,1214,73999,34696,148664,5744,20008
20,JAMMU AND KASHMIR,Reasi,314667,166461,148206,150542,144767,107833,602,31588,12261,95572,2849,6552
21,JAMMU AND KASHMIR,Jammu,1529958,813821,716137,1137135,508622,502609,19905,294739,248043,254566,46657,197168
22,JAMMU AND KASHMIR,Samba,318898,169124,149774,228139,92526,114236,992,61159,19989,94247,4465,34063
23,HIMACHAL PRADESH,Chamba,519080,261320,257760,323842,294035,200231,1615,96082,13836,186395,5117,21458
24,HIMACHAL PRADESH,Kangra,1510075,750591,759484,1152640,675170,627328,8053,330081,39007,588321,22753,148361
25,HIMACHAL PRADESH,Lahul AND Spiti,31564,16588,14976,21845,19295,17434,61,5618,0,17434,252,2046
26,HIMACHAL PRADESH,Kullu,437903,225452,212451,307672,269084,188704,2623,91322,20709,167995,7010,40064
27,HIMACHAL PRADESH,Mandi,999777,498065,501712,723747,572671,462825,5333,214491,31696,431129,16401,59324
28,HIMACHAL PRADESH,Hamirpur,454768,217070,237698,358091,241931,211348,2521,104120,15232,196116,7525,34978
29,HIMACHAL PRADESH,Una,521173,263692,257481,399715,215346,205217,2412,105929,20126,185091,8238,43809
30,HIMACHAL PRADESH,Bilaspur,381956,192764,189192,287620,205871,164445,1574,79146,11987,152458,6281,17262
31,HIMACHAL PRADESH,Solan,580320,308754,271566,428578,298737,244296,5250,119866,51509,192787,14478,53722
32,HIMACHAL PRADESH,Sirmaur,529855,276289,253566,362645,280083,192156,2220,91509,21054,171102,8593,28904
33,HIMACHAL PRADESH,Shimla,814010,425039,388971,612642,430926,375165,9177,172754,95896,279269,24127,108888
34,HIMACHAL PRADESH,Kinnaur,84121,46249,37872,60699,56273,44514,354,17865,0,44514,2563,10740
35,PUNJAB,Gurdaspur,2298323,1212617,1085706,1634719,757138,606348,14428,411216,185488,420860,38445,244468
36,PUNJAB,Kapurthala,815168,426311,388857,576567,284165,261203,9732,161206,95770,165433,23145,110555
37,PUNJAB,Jalandhar,2193590,1145211,1048379,1622537,774472,708130,39082,446200,377791,330339,79134,299449
38,PUNJAB,Hoshiarpur,1586625,809057,777568,1199699,499822,551265,13747,319930,128592,422673,34328,201675
39,PUNJAB,Shahid Bhagat Singh Nagar,612310,313291,299019,438459,204329,231551,5264,125068,48383,183168,13936,64934
40,PUNJAB,Fatehgarh Sahib,600163,320795,279368,426033,214783,174896,5138,113683,57337,117559,14294,64037
41,PUNJAB,Ludhiana,3498739,1867816,1630923,2560225,1284822,1036821,58589,703624,641789,395032,123400,488757
42,PUNJAB,Moga,995746,525920,469826,627889,359172,288439,7897,183396,74144,214295,21662,89445
43,PUNJAB,Firozpur,2029074,1071637,957437,1227511,756695,502390,10042,349662,153868,348522,31070,141899
44,PUNJAB,Muktsar,901896,475622,426274,524848,335326,224157,4571,166585,74650,149507,14077,76441
45,PUNJAB,Faridkot,617508,326671,290837,381285,221555,158863,4348,113549,58917,99946,12276,62103
46,PUNJAB,Bathinda,1388525,743197,645328,844868,549986,355722,11284,255650,137563,218159,32253,118427
47,PUNJAB,Mansa,769751,408732,361019,423560,328512,196389,2673,140099,50786,145603,10085,39414
48,PUNJAB,Patiala,1895686,1002522,893164,1266791,660267,517369,24274,352929,218090,299279,55105,209192
49,PUNJAB,Amritsar,2490656,1318408,1172248,1684770,917856,660953,29961,461231,385476,275477,63864,279993
50,PUNJAB,Tarn Taran,1119627,589369,530258,666162,380702,267174,4300,186599,44457,222717,13102,73958
51,PUNJAB,Rupnagar,684627,357485,327142,502731,233676,208699,6600,129123,60537,148162,17542,67749
52,PUNJAB,Sahibzada Ajit Singh Nagar,994628,529253,465375,736575,355995,291335,25944,191578,174042,117293,50857,131701
53,PUNJAB,Sangrur,1655169,878029,777140,1002077,568758,448944,10736,305557,156788,292156,30955,135280
54,PUNJAB,Barnala,595527,317522,278005,359831,209331,156799,3501,108908,54222,102577,10566,50276
55,CHANDIGARH,Chandigarh,1055450,580663,474787,805438,404136,298367,44283,231204,289456,8911,78113,168344
56,UTTARAKHAND,Uttarkashi,330086,168597,161489,215126,157276,121209,602,52621,9061,112148,4104,21374
57,UTTARAKHAND,Chamoli,391605,193991,197614,280556,180940,186340,899,71524,22906,163434,5582,27853
58,UTTARAKHAND,Rudraprayag,242285,114589,127696,170933,113032,117159,418,49182,4454,112705,3082,19859
59,UTTARAKHAND,Tehri Garhwal,618931,297986,320945,407994,280442,254236,1366,117239,27177,227059,7831,50929
60,UTTARAKHAND,Dehradun,1696694,892199,804495,1259506,582768,497638,25862,310726,269393,228245,71199,233705
61,UTTARAKHAND,Garhwal,687271,326829,360442,494889,274152,316462,2633,143963,36780,279682,12670,70551
62,UTTARAKHAND,Pithoragarh,483439,239306,244133,345550,216490,209943,1344,95421,26256,183687,7932,45365
63,UTTARAKHAND,Bageshwar,259898,124326,135572,179483,123638,99911,435,47083,3880,96031,3595,13352
64,UTTARAKHAND,Almora,622506,291081,331425,436497,298211,281138,1830,109876,21082,260056,9858,40199
65,UTTARAKHAND,Champawat,259648,131125,128523,177726,99566,98041,548,37725,12839,85202,3159,18785
66,UTTARAKHAND,Nainital,954605,493666,460939,696500,376181,298663,7265,169001,105577,193086,26270,99021
67,UTTARAKHAND,Udham Singh Nagar,1648902,858783,790119,1037839,591458,414659,7883,254802,145253,269406,28053,116576
68,UTTARAKHAND,Hardwar,1890422,1005295,885127,1178354,578121,488011,11947,279012,186183,301828,35023,125717
69,HARYANA,Panchkula,561293,299679,261614,405318,211479,164551,18615,103455,93656,70895,32174,69687
70,HARYANA,Ambala,1128350,598703,529647,818025,372139,315256,12899,199681,139891,175365,32767,121622
71,HARYANA,Yamunanagar,1214205,646718,567487,832457,389233,357723,8079,217503,143259,214464,25129,109080
72,HARYANA,Kurukshetra,964655,510976,453679,646893,336780,291821,7356,171908,88268,203553,21951,90150
73,HARYANA,Kaithal,1074304,571003,503301,646529,373899,306787,3724,187349,75696,231091,15301,62668
74,HARYANA,Karnal,1505324,797712,707612,978013,516062,428602,11163,267223,135920,292682,29253,143133
75,HARYANA,Panipat,1205437,646857,558580,786599,412318,327306,10024,209965,153804,173502,26719,121846
76,HARYANA,Sonipat,1450001,781299,668702,998316,523179,417434,9029,253054,133576,283858,30697,126009
77,HARYANA,Jind,1334152,713006,621146,832758,523422,368000,5263,222462,89665,278335,23750,78386
78,HARYANA,Fatehabad,942011,495360,446651,557578,369083,258380,3210,153301,55360,203020,13142,51693
79,HARYANA,Sirsa,1295189,682582,612607,782897,502003,338792,6287,215527,93316,245476,22706,70538
80,HARYANA,Hisar,1743931,931562,812369,1114311,691621,456126,10132,285004,154113,302013,33400,110495
81,HARYANA,Bhiwani,1634445,866672,767773,1069871,623006,456282,5292,266244,99235,357047,25236,88938
82,HARYANA,Rohtak,1061204,568479,492725,747582,345967,306942,8482,193120,131739,175203,27225,94633
83,HARYANA,Jhajjar,958405,514667,443738,676091,326534,290144,5034,168558,78328,211816,19241,70149
84,HARYANA,Mahendragarh,922088,486665,435423,630255,338584,267942,2624,135455,44216,223726,13908,45359
85,HARYANA,Rewari,900332,474335,425997,636947,337727,268754,5121,152651,69305,199449,18092,62667
86,HARYANA,Gurgaon,1514432,816690,697742,1111116,544716,523691,67087,305751,381988,141703,102343,238359
87,HARYANA,Mewat,1089263,571162,518101,454897,289964,223635,935,96309,36237,187398,10499,15593
88,HARYANA,Faridabad,1809733,966110,843623,1272739,579229,470681,43437,333171,382981,87700,82673,258422
89,HARYANA,Palwal,1042708,554497,488211,599796,309563,249159,4283,132606,63090,186069,16736,46498
90,NCT OF DELHI,North West,3656539,1960922,1695617,2707855,1188545,1026867,114044,720900,959275,67592,188876,625662
91,NCT OF DELHI,North,887978,475002,412976,681517,296446,301071,21418,174310,296559,4512,40543,161067
92,NCT OF DELHI,North East,2241624,1188425,1053199,1611588,661386,487581,30390,391951,482255,5326,69417,356769
93,NCT OF DELHI,East,1709346,907500,801846,1352998,579692,462218,80037,352758,461132,1086,127465,327253
94,NCT OF DELHI,New Delhi,142004,77942,64062,114179,59541,52664,7366,30023,52664,0,11948,26681
95,NCT OF DELHI,Central,582320,307821,274499,442360,207374,194897,19724,113399,194897,0,30627,101826
96,NCT OF DELHI,West,2543243,1356240,1187003,1961179,874320,701512,109666,520282,699703,1809,171002,475985
97,NCT OF DELHI,South West,2292958,1246046,1046912,1787689,795352,647682,94853,457784,606503,41179,156635,423855
98,NCT OF DELHI,South,2731929,1467428,1264501,2078402,924393,731063,111453,549402,728145,2918,176435,504898
99,RAJASTHAN,Ganganagar,1969168,1043340,925828,1193343,912672,562594,6295,283142,164897,397697,24901,88543
100,RAJASTHAN,Hanumangarh,1774692,931184,843508,1034136,835260,497753,3360,243163,108694,389059,16217,55515
101,RAJASTHAN,Bikaner,2363937,1240801,1123136,1278801,986208,531933,7607,220793,196179,335754,29531,108812
102,RAJASTHAN,Churu,2039547,1051446,988101,1149269,902829,493893,2577,231696,148996,344897,15259,74197
103,RAJASTHAN,Jhunjhunun,2137045,1095896,1041149,1370360,894649,650809,4828,297559,150357,500452,24178,131987
104,RAJASTHAN,Alwar,3674179,1939026,1735153,2182476,1708542,995261,9750,485723,212967,782294,45770,123478
105,RAJASTHAN,Bharatpur,2548462,1355726,1192736,1480869,1071154,609134,4179,288723,129697,479437,26106,61113
106,RAJASTHAN,Dhaulpur,1206516,653647,552869,683098,523212,273296,1330,96086,58626,214670,9504,24561
107,RAJASTHAN,Karauli,1458248,783639,674609,805849,628726,364355,1059,132079,59308,305047,13045,28296
108,RAJASTHAN,Sawai Madhopur,1335551,704031,631520,741748,578068,353321,1887,140947,71264,282057,14310,40116
109,RAJASTHAN,Dausa,1634409,857787,776622,938051,684495,420694,1719,195277,59610,361084,14539,35600
110,RAJASTHAN,Jaipur,6626178,3468507,3157671,4300965,2464893,1732679,76565,990085,977838,754841,182350,570997
111,RAJASTHAN,Sikar,2677333,1374990,1302343,1652117,1006504,705834,5647,339457,178274,527560,28382,131342
112,RAJASTHAN,Nagaur,3307743,1696325,1611418,1758624,1425882,842201,4449,347344,166489,675712,35328,97267
113,RAJASTHAN,Jodhpur,3687165,1923928,1763237,2031532,1489741,891657,19335,408808,307442,584215,54808,197135
114,RAJASTHAN,Jaisalmer,669919,361708,308211,308653,288903,189947,754,43141,30830,159117,7416,12431
115,RAJASTHAN,Barmer,2603751,1369022,1234729,1188322,1202482,598805,2766,126494,55980,542825,37730,39580
116,RAJASTHAN,Jalor,1828730,936634,892096,829582,896644,467418,1585,161845,48202,419216,12794,39745
117,RAJASTHAN,Sirohi,1036346,534231,502115,476806,419829,308174,2146,134089,69639,238535,10297,47182
118,RAJASTHAN,Pali,2037573,1025422,1012151,1085693,842327,652717,4043,326793,139808,512909,19270,94821
119,RAJASTHAN,Ajmer,2583052,1324085,1258967,1526673,1053722,684254,13499,393498,274919,409335,41732,171799
120,RAJASTHAN,Tonk,1421326,728136,693190,749659,649161,380666,1908,158264,81755,298911,12482,32359
121,RAJASTHAN,Bundi,1110906,577160,533746,585044,526091,303288,1392,136969,63452,239836,7705,33406
122,RAJASTHAN,Bhilwara,2408523,1220736,1187787,1256126,1148165,675880,6207,373644,145865,530015,24014,93768
123,RAJASTHAN,Rajsamand,1156597,581339,575258,619139,550831,365676,1989,193276,61054,304622,9222,36073
124,RAJASTHAN,Dungarpur,1388552,696532,692020,681591,641515,354363,1477,141275,31547,322816,11742,26351
125,RAJASTHAN,Banswara,1797485,907754,889731,829343,916574,429844,2324,120603,39407,390437,15062,34189
126,RAJASTHAN,Chittaurgarh,1544338,783171,761167,821825,802755,455653,4941,268172,88873,366780,16560,59190
127,RAJASTHAN,Kota,1951014,1021161,929853,1298345,748811,515189,12843,339899,311735,203454,36297,165563
128,RAJASTHAN,Baran,1222755,633945,588810,693307,552583,318988,1363,161310,69804,249184,9491,32685
129,RAJASTHAN,Jhalawar,1411129,725143,685986,739792,685950,362387,1750,220428,63763,298624,9403,38909
130,RAJASTHAN,Udaipur,3068420,1566801,1501619,1582629,1365783,848218,14211,357846,182769,665449,48517,128320
131,RAJASTHAN,Pratapgarh,867848,437744,430104,401515,481294,234082,716,71612,24269,209813,5961,17984
132,UTTAR PRADESH,Saharanpur,3466382,1834106,1632276,2077108,1037344,889238,9699,404499,284156,605082,38816,149035
133,UTTAR PRADESH,Muzaffarnagar,4143512,2193434,1950078,2417339,1291644,969850,10077,368153,296104,673746,56149,147785
134,UTTAR PRADESH,Bijnor,3682713,1921215,1761498,2135393,1088036,908523,7303,268353,224648,683875,37341,128042
135,UTTAR PRADESH,Moradabad,4772006,2503186,2268820,2263848,1417811,1047916,11690,281758,355518,692398,61846,179473
136,UTTAR PRADESH,Rampur,2335819,1223889,1111930,1043666,737261,539992,3847,131112,143217,396775,25960,62281
137,UTTAR PRADESH,Jyotiba Phule Nagar,1840221,963449,876772,983110,599089,451374,2825,89329,115486,335888,18303,55064
138,UTTAR PRADESH,Meerut,3443689,1825743,1617946,2141488,1090539,803823,23717,425624,422303,381520,69473,236071
139,UTTAR PRADESH,Baghpat,1303048,700070,602978,797970,416695,316046,2989,119121,69991,246055,19999,44732
140,UTTAR PRADESH,Ghaziabad,4681645,2488834,2192811,3123264,1520538,1191723,78116,695130,836316,355407,179552,501592
141,UTTAR PRADESH,Gautam Buddha Nagar,1648115,890214,757901,1122947,569109,509770,53181,257586,338935,170835,87188,193902
142,UTTAR PRADESH,Bulandshahr,3499171,1845260,1653911,2031656,1173260,880077,7865,223922,221628,658449,38225,124641
143,UTTAR PRADESH,Aligarh,3673889,1951996,1721893,2092567,1174361,858059,13634,268120,275942,582117,58336,153283
144,UTTAR PRADESH,Mahamaya Nagar,1564708,836127,728581,942572,484115,373033,3087,134579,84883,288150,18621,48911
145,UTTAR PRADESH,Mathura,2547184,1367125,1180059,1507746,840939,585290,8726,281239,177802,407488,37596,107867
146,UTTAR PRADESH,Agra,4418797,2364953,2053844,2680510,1389844,903823,27183,536402,406852,496971,82012,251013
147,UTTAR PRADESH,Firozabad,2498156,1332046,1166110,1521806,761521,535368,5834,196080,185621,349747,31797,100919
148,UTTAR PRADESH,Mainpuri,1868529,993377,875152,1203885,560840,411258,2642,79022,72783,338475,24451,43074
149,UTTAR PRADESH,Budaun,3681896,1967759,1714137,1547477,1107343,867624,3634,110177,156668,710956,30423,62863
150,UTTAR PRADESH,Bareilly,4448359,2357665,2090694,2191759,1401971,994411,15164,272830,362798,631613,56575,210687
151,UTTAR PRADESH,Pilibhit,2031007,1072002,959005,1061095,618605,461390,2870,83006,89638,371752,18097,47723
152,UTTAR PRADESH,Shahjahanpur,3006538,1606403,1400135,1490930,892214,655003,3889,115163,134714,520289,27533,91958
153,UTTAR PRADESH,Kheri,4021243,2123187,1898056,2034044,1264718,862610,3402,122761,107672,754938,29252,86948
154,UTTAR PRADESH,Sitapur,4483992,2375264,2108728,2283733,1422602,938902,3874,102040,111319,827583,34609,74072
155,UTTAR PRADESH,Hardoi,4092845,2191442,1901403,2221601,1318946,907677,3845,95508,121064,786613,32065,60689
156,UTTAR PRADESH,Unnao,3108367,1630087,1478280,1773584,1124744,717356,3476,99466,121039,596317,28719,70484
157,UTTAR PRADESH,Lucknow,4589838,2394476,2195362,3127260,1542806,1061721,68506,582769,717566,344155,152257,469747
158,UTTAR PRADESH,Rae Bareli,3405559,1752542,1653017,1965843,1204710,778418,5184,247856,73393,705025,34788,65080
159,UTTAR PRADESH,Farrukhabad,1885204,1006240,878964,1092677,592267,411490,2624,88081,94843,316647,18733,59209
160,UTTAR PRADESH,Kannauj,1656616,881776,774840,1017087,524676,365770,2488,61491,65985,299785,18082,32510
161,UTTAR PRADESH,Etawah,1581810,845856,735954,1062003,506072,351126,2964,113098,85483,265643,21506,47520
162,UTTAR PRADESH,Auraiya,1379545,740040,639505,930836,442023,314274,2404,65479,58438,255836,14279,32687
163,UTTAR PRADESH,Kanpur Dehat,1796184,963255,832929,1170243,628864,405256,2682,49753,41323,363933,25354,23831
164,UTTAR PRADESH,Kanpur Nagar,4581268,2459806,2121462,3243022,1572232,1049775,33966,517271,684906,364869,93296,421694
165,UTTAR PRADESH,Jalaun,1689974,906092,783882,1075196,620764,396421,2217,104176,91565,304856,18615,42616
166,UTTAR PRADESH,Jhansi,1998603,1057436,941167,1304513,814914,504913,8517,183340,195321,309592,40774,94342
167,UTTAR PRADESH,Lalitpur,1221592,641011,580581,641191,503351,301832,1079,77082,43819,258013,9906,20720
168,UTTAR PRADESH,Hamirpur,1104285,593537,510748,653299,443655,311381,1196,55929,55300,256081,11037,20175
169,UTTAR PRADESH,Mahoba,875958,466358,409600,488106,349676,246823,1316,42936,48525,198298,11298,12874
170,UTTAR PRADESH,Banda,1799410,965876,833534,1002937,701689,445625,1655,73522,67569,378056,18612,26907
171,UTTAR PRADESH,Chitrakoot,991730,527721,464009,531072,394197,230795,827,41046,23558,207237,9437,11637
172,UTTAR PRADESH,Fatehpur,2632733,1384722,1248011,1512166,1063929,636540,3385,75263,77733,558807,33501,43492
173,UTTAR PRADESH,Pratapgarh,3209141,1606085,1603056,1931559,1066601,752786,5149,140538,41701,711085,34400,46358
174,UTTAR PRADESH,Kaushambi,1599596,838485,761111,813424,639086,380620,1503,43753,30764,349856,15029,22034
175,UTTAR PRADESH,Allahabad,5954391,3131807,2822584,3665727,2111907,1248570,24122,391542,265304,983266,85491,204357
176,UTTAR PRADESH,Bara Banki,3260699,1707073,1553626,1692458,1192850,714908,3159,108116,79068,635840,26293,60554
177,UTTAR PRADESH,Faizabad,2470996,1259628,1211368,1450901,831209,589666,4746,127754,79288,510378,28625,58328
178,UTTAR PRADESH,Ambedkar Nagar,2397888,1212410,1185478,1486939,787398,566590,2509,99581,65031,501559,27308,21512
179,UTTAR PRADESH,Sultanpur,3797117,1914586,1882531,2239902,1242632,889628,5956,233701,49891,839737,44008,55055
180,UTTAR PRADESH,Bahraich,3487731,1843884,1643847,1398368,1152160,760262,2681,85814,61742,698520,35463,38940
181,UTTAR PRADESH,Shrawasti,1117361,593897,523464,423313,403755,257274,624,20419,8504,248770,10074,4828
182,UTTAR PRADESH,Balrampur,2148665,1114721,1033944,868357,760253,445838,1551,57400,35768,410070,15510,16229
183,UTTAR PRADESH,Gonda,3433919,1787146,1646773,1679994,1170552,726372,4313,104084,52794,673578,31811,45517
184,UTTAR PRADESH,Siddharthnagar,2559297,1295095,1264202,1228926,878898,513513,2434,93088,33348,480165,24662,25883
185,UTTAR PRADESH,Basti,2464464,1255272,1209192,1393783,783688,545025,3423,108101,31065,513960,30244,37593
186,UTTAR PRADESH,Sant Kabir Nagar,1715183,869656,845527,954949,539469,352151,2031,79525,27179,324972,19729,17671
187,UTTAR PRADESH,Mahrajganj,2684703,1381754,1302949,1419144,994253,607079,2694,91844,34033,573046,27339,23647
188,UTTAR PRADESH,Gorakhpur,4440895,2277777,2163118,2700328,1351629,951128,14597,296619,189170,761958,65360,149727
189,UTTAR PRADESH,Kushinagar,3564544,1818055,1746489,1954820,1116973,785099,3486,127331,42775,742324,35931,29304
190,UTTAR PRADESH,Deoria,3100946,1537436,1563510,1875239,876246,665706,4469,150001,67928,597778,36068,60348
191,UTTAR PRADESH,Azamgarh,4613913,2285004,2328909,2771917,1372032,971458,6652,183381,80434,891024,47324,49699
192,UTTAR PRADESH,Mau,2205968,1114709,1091259,1363044,696747,451528,2656,149908,99321,352207,26716,40087
193,UTTAR PRADESH,Ballia,3239774,1672902,1566872,1963590,1019483,629381,4672,119972,64454,564927,42969,62157
194,UTTAR PRADESH,Jaunpur,4494204,2220465,2273739,2731677,1437375,1006670,8002,181467,80582,926088,52398,56508
195,UTTAR PRADESH,Ghazipur,3620268,1855075,1765193,2197549,1204602,761640,5309,105767,61467,700173,50180,36798
196,UTTAR PRADESH,Chandauli,1952756,1017905,934851,1174606,652543,395759,3492,99602,50822,344937,20762,32433
197,UTTAR PRADESH,Varanasi,3676841,1921857,1754984,2403903,1220708,755064,19214,336056,316129,438935,57583,202055
198,UTTAR PRADESH,Sant Ravidas Nagar (Bhadohi),1578213,807099,771114,910146,470608,339507,2896,83220,45997,293510,16198,23178
199,UTTAR PRADESH,Mirzapur,2496970,1312302,1184668,1428683,881996,543115,4447,145997,77963,465152,24518,43500
200,UTTAR PRADESH,Sonbhadra,1862559,971344,891215,985708,730399,428088,5149,95582,91040,337048,25220,40467
201,UTTAR PRADESH,Etah,1774480,947339,827141,1055202,545984,401998,2635,69591,67752,334246,19712,37027
202,UTTAR PRADESH,Kanshiram Nagar,1436719,764165,672554,724850,472765,343724,1623,50405,72490,271234,13109,26849
203,BIHAR,Pashchim Champaran,3935042,2061110,1873932,1759481,1478947,936134,3495,57546,96620,839514,41143,38414
204,BIHAR,Purba Champaran,5099371,2681209,2418162,2276957,1737539,1243825,7719,74979,101565,1142260,70258,52358
205,BIHAR,Sheohar,656246,346673,309573,283698,216372,166000,478,10004,7516,158484,6698,3983
206,BIHAR,Sitamarhi,3423574,1803252,1620322,1436794,1114583,856964,3460,66263,49670,807294,42461,39465
207,BIHAR,Madhubani,4487379,2329313,2158066,2155338,1636938,1088786,5319,113281,41234,1047552,65548,47090
208,BIHAR,Supaul,2229076,1155283,1073793,1033283,877682,600102,1845,51028,27815,572287,25078,12111
209,BIHAR,Araria,2811569,1463333,1348236,1195768,1069893,703274,2561,43290,44213,659061,29796,17004
210,BIHAR,Kishanganj,1690400,866970,823430,745056,529064,445150,1093,58718,43357,401793,14073,11715
